# GsakName=British Indian Ocean Territories
#
# This polygon file contains the exclusive economic zone around the British
# Indian Ocean Territories.
#
# This file was created by Peter John Acklam, pjacklam@gmail.com
#
# The source data was obtained from the Maritime Boundaries Geodatabase,
# which requests that the following citation is used for the data:
#
# VLIZ (2014). Maritime Boundaries Geodatabase, version 8. Available
# online at http://www.marineregions.org/. Consulted on 2015-01-19.
#
-3.4674954,75.0532385
-3.6263687,75.1527124
-3.819298,75.256695
-3.8388486,75.2656441
-3.8409385,75.2667707
-4.0402854,75.358026
-4.2451995,75.4361494
-4.4548028,75.5007966
-4.6681999,75.5516804
-4.8844755,75.5885725
-5.0183587,75.6025169
-5.0187889,75.6026196
-5.2350532,75.6395466
-5.4532637,75.6623065
-5.6724868,75.6707894
-5.6752267,75.6708048
-5.6768566,75.6708131
-5.8934105,75.6649551
-6.1118335,75.6447997
-6.1399614,75.6403333
-6.2008449,75.6636447
-6.2727128,75.6876092
-6.4124662,75.7292697
-6.4161787,75.7302906
-6.6294268,75.7814176
-6.8455299,75.8185224
-7.0635616,75.8414353
-7.2825866,75.8500455
-7.2865918,75.8500691
-7.2899305,75.8500876
-7.4335268,75.8477748
-7.5857836,75.8422641
-7.8039642,75.8221835
-8.0203251,75.7878332
-8.2339399,75.7393475
-8.4438913,75.6769215
-8.6492809,75.6008069
-8.8492286,75.5113191
-8.9596802,75.4548702
-9.0445477,75.4079351
-9.2310667,75.2928694
-9.4096573,75.1657109
-9.5795535,75.0269957
-9.6789588,74.9366216
-9.790917,74.8307585
-9.7930408,74.8286564
-9.800544,74.8212015
-9.9508855,74.661152
-10.0904704,74.4914499
-10.218699,74.3128171
-10.3350177,74.1260209
-10.4389275,73.9318634
-10.4600278,73.888343
-10.5307907,73.7294725
-10.6085885,73.5231277
-10.6093618,73.520851
-10.6102953,73.5181089
-10.6374477,73.4347573
-10.6752857,73.3044819
-10.725622,73.0895146
-10.7618672,72.8716297
-10.783863,72.651773
-10.7909995,72.4831626
-10.7910416,72.4807523
-10.791551,72.4284923
-10.7848088,72.2075707
-10.7637034,71.9875631
-10.7283209,71.7694296
-10.6788103,71.5541235
-10.6153789,71.3425853
-10.538298,71.1357383
-10.447895,70.9344854
-10.3445583,70.7397045
-10.2287326,70.5522428
-10.1009148,70.3729158
-9.9616564,70.202501
-9.8474389,70.0795777
-9.8329801,70.04114
-9.7632112,69.8841221
-9.7411866,69.8386043
-9.6372738,69.6442793
-9.5208791,69.4573014
-9.3925046,69.2784818
-9.2527071,69.1085948
-9.2517993,69.1076099
-9.2409841,69.0944687
-9.1922931,69.0403325
-9.1910996,69.0390344
-9.0891658,68.9329588
-8.9283748,68.7831051
-8.7581151,68.6442493
-8.5791239,68.516985
-8.3921788,68.4018515
-8.198089,68.2993342
-8.125497,68.2650835
-7.995961,68.2090679
-7.7901329,68.1330089
-7.5797593,68.0706753
-7.5227312,68.0577888
-7.3176096,67.9970862
-7.103581,67.9487894
-7.0957934,67.9473085
-6.8827528,67.9138711
-6.7342557,67.8988032
-6.6550222,67.8932698
-6.4393423,67.8877303
-6.431032,67.8877847
-6.427378,67.8878105
-6.2081559,67.8966455
-5.9899876,67.9197731
-5.7738054,67.957072
-5.5605358,68.0083665
-5.3510865,68.0734174
-5.233368,68.1185613
-5.2072611,68.1266642
-5.0025257,68.2051315
-4.8033729,68.2967083
-4.6106459,68.4009929
-4.4641844,68.4930133
-4.4239843,68.5026155
-4.4059515,68.5076015
-4.2458907,68.556154
-4.2029199,68.5706446
-4.1983518,68.5722231
-4.1979236,68.5723711
-3.9932066,68.6504707
-3.794063,68.7416624
-3.7823575,68.7479721
-3.7741479,68.7517309
-3.5814219,68.8556046
-3.3959279,68.9717159
-3.2184475,69.0995615
-3.0497302,69.2385918
-3.0449414,69.243091
-3.0372853,69.2493998
-2.8780378,69.3990121
-2.8064482,69.4730296
-2.8043901,69.4752242
-2.7268737,69.5607695
-2.6499889,69.6518225
-2.5851927,69.7336984
-2.4581996,69.9110875
-2.3430865,70.0962826
-2.28379,70.2072118
-2.305772,70.2723197
-2.5007343,70.8893685
-2.7789219,71.8355605
-2.8001041,71.90829
-2.8092286,71.9429004
-2.9465867,72.466098
-2.9818129,72.5999594
-3.09117,73.1591988
-3.3097766,74.2628829
-3.374554,74.5900968
-3.4645174,75.0369026
-3.4674954,75.0532385
