# GsakName=Norfolk Island
#
# This polygon file contains the exclusive economic zone around the Norfolk
# Island.
#
# This file was created by Peter John Acklam, pjacklam@gmail.com
#
# The source data was obtained from the Maritime Boundaries Geodatabase,
# which requests that the following citation is used for the data:
#
# VLIZ (2014). Maritime Boundaries Geodatabase, version 8. Available
# online at http://www.marineregions.org/. Consulted on 2015-01-19.
#
-25.9307817,169.4316847
-25.9335797,169.4390416
-25.9395807,169.4546257
-25.9456447,169.4701807
-25.9517717,169.4857066
-25.9579607,169.5012037
-25.9642127,169.5166696
-25.9705257,169.5321067
-25.9769017,169.5475127
-25.9833397,169.5628877
-25.9898397,169.5782317
-25.9964017,169.5935447
-26.0030247,169.6088256
-26.0097096,169.6240747
-26.0164556,169.6392917
-26.0232627,169.6544767
-26.0301306,169.6696276
-26.0370607,169.6847457
-26.0440506,169.6998306
-26.0511017,169.7148817
-26.0582137,169.7298986
-26.0653847,169.7448817
-26.0726177,169.7598296
-26.0799097,169.7747426
-26.0872617,169.7896197
-26.0946746,169.8044627
-26.1021467,169.8192687
-26.1096777,169.8340387
-26.1172687,169.8487726
-26.1249186,169.8634696
-26.1326287,169.8781297
-26.1403967,169.8927526
-26.1482237,169.9073377
-26.1561096,169.9218857
-26.1640547,169.9363947
-26.1720567,169.9508646
-26.1801177,169.9652967
-26.1882366,169.9796897
-26.1964137,169.9940437
-26.2046487,170.0083577
-26.2128317,170.0228326
-26.2210737,170.0372686
-26.2293737,170.0516636
-26.2377317,170.0660186
-26.2461477,170.0803337
-26.2546216,170.0946066
-26.2631537,170.1088387
-26.2717437,170.1230287
-26.2803906,170.1371766
-26.2890946,170.1512826
-26.2978557,170.1653466
-26.3066747,170.1793676
-26.3155487,170.1933456
-26.3244807,170.2072797
-26.3334687,170.2211707
-26.3425127,170.2350177
-26.3516127,170.2488197
-26.3607676,170.2625786
-26.3699797,170.2762917
-26.3792467,170.2899596
-26.3885686,170.3035827
-26.3979456,170.3171607
-26.4073776,170.3306917
-26.4168647,170.3441776
-26.4264056,170.3576167
-26.4360017,170.3710087
-26.4456517,170.3843537
-26.4553556,170.3976517
-26.4651137,170.4109027
-26.4749247,170.4241047
-26.4847887,170.4372597
-26.4947067,170.4503657
-26.5046777,170.4634227
-26.5147007,170.4764317
-26.5247767,170.4893917
-26.5349057,170.5023017
-26.5450867,170.5151617
-26.5553186,170.5279716
-26.5656037,170.5407317
-26.5759396,170.5534417
-26.5863267,170.5661007
-26.5967656,170.5787086
-26.6072547,170.5912647
-26.6177947,170.6037697
-26.6283857,170.6162227
-26.6390267,170.6286236
-26.6497177,170.6409727
-26.6604586,170.6532687
-26.6712497,170.6655116
-26.6820897,170.6777017
-26.6929797,170.6898387
-26.7039176,170.7019216
-26.7149046,170.7139507
-26.7259407,170.7259256
-26.7370257,170.7378456
-26.7481577,170.7497116
-26.7593377,170.7615227
-26.7705667,170.7732787
-26.7818417,170.7849797
-26.7931647,170.7966246
-26.8045347,170.8082136
-26.8159507,170.8197457
-26.8274147,170.8312227
-26.8389237,170.8426426
-26.8504797,170.8540056
-26.8620807,170.8653106
-26.8737277,170.8765597
-26.8854207,170.8877507
-26.8971586,170.8988827
-26.9089417,170.9099577
-26.9207687,170.9209747
-26.9326407,170.9319327
-26.9445567,170.9428317
-26.9565167,170.9536717
-26.9685207,170.9644526
-26.9805686,170.9751737
-26.9926587,170.9858356
-27.0047927,170.9964366
-27.0169686,171.0069786
-27.0291877,171.0174596
-27.0414497,171.0278797
-27.0537527,171.0382397
-27.0660977,171.0485376
-27.0784847,171.0587747
-27.0909127,171.0689497
-27.1033817,171.0790637
-27.1158917,171.0891147
-27.1284417,171.0991046
-27.1410326,171.1090317
-27.1536637,171.1188957
-27.1663337,171.1286967
-27.1790436,171.1384346
-27.1917937,171.1481097
-27.2045817,171.1577206
-27.2174087,171.1672686
-27.2302747,171.1767527
-27.2431787,171.1861717
-27.2561197,171.1955267
-27.2690996,171.2048167
-27.2821167,171.2140427
-27.2951706,171.2232037
-27.3082617,171.2322987
-27.3213896,171.2413287
-27.3345537,171.2502926
-27.3477537,171.2591907
-27.3609897,171.2680236
-27.3741607,171.2767246
-27.3873647,171.2853617
-27.4006047,171.2939327
-27.4138777,171.3024376
-27.4271857,171.3108757
-27.4405277,171.3192486
-27.4539017,171.3275547
-27.4673107,171.3357947
-27.4807517,171.3439677
-27.4942247,171.3520737
-27.5077307,171.3601127
-27.5212697,171.3680837
-27.5348397,171.3759877
-27.5484406,171.3838236
-27.5620736,171.3915927
-27.5757377,171.3992927
-27.5894327,171.4069247
-27.6031576,171.4144887
-27.6169137,171.4219837
-27.6306986,171.4294096
-27.6445137,171.4367667
-27.6583587,171.4440547
-27.6722316,171.4512737
-27.6861347,171.4584237
-27.7000657,171.4655027
-27.7140246,171.4725126
-27.7280117,171.4794537
-27.7420267,171.4863227
-27.7560687,171.4931227
-27.7701386,171.4998516
-27.7842346,171.5065106
-27.7983577,171.5130987
-27.8125066,171.5196147
-27.8266817,171.5260607
-27.8408827,171.5324356
-27.8551087,171.5387386
-27.8693607,171.5449697
-27.8836366,171.5511297
-27.8979377,171.5572176
-27.9122627,171.5632337
-27.9266117,171.5691777
-27.9409847,171.5750486
-27.9553807,171.5808477
-27.9697997,171.5865737
-27.9842427,171.5922277
-27.9987067,171.5978077
-28.0131937,171.6033157
-28.0277027,171.6087507
-28.0422326,171.6141117
-28.0568917,171.6194477
-28.0715717,171.6247096
-28.0862727,171.6298966
-28.1009946,171.6350087
-28.1157367,171.6400447
-28.1304997,171.6450067
-28.1452817,171.6498927
-28.1600836,171.6547037
-28.1749057,171.6594386
-28.1897457,171.6640976
-28.2046047,171.6686817
-28.2194817,171.6731886
-28.2343776,171.6776207
-28.2492906,171.6819756
-28.2642206,171.6862547
-28.2791687,171.6904566
-28.2941326,171.6945817
-28.3091137,171.6986307
-28.3241117,171.7026027
-28.3391247,171.7064977
-28.3541527,171.7103157
-28.3691967,171.7140566
-28.3842557,171.7177207
-28.3993287,171.7213066
-28.4144166,171.7248146
-28.4295186,171.7282457
-28.4446337,171.7315997
-28.4597627,171.7348747
-28.4749046,171.7380726
-28.4900587,171.7411917
-28.5052257,171.7442337
-28.5204046,171.7471967
-28.5355957,171.7500816
-28.5507987,171.7528876
-28.5660117,171.7556157
-28.5812366,171.7582646
-28.5964717,171.7608357
-28.6117167,171.7633276
-28.6269716,171.7657407
-28.6422357,171.7680746
